Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City
26594086,10/31/2013 12:54:03 AM,10/31/2013 02:16:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10310,173 CAMPBELL AVENUE,CAMPBELL AVENUE,HENDERSON AVENUE,WINEGAR LANE,,,ADDRESS,STATEN ISLAND
26595117,10/31/2013 12:52:46 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11236,,,,,ROCKAWAY PARKWAY,SKIDMORE AVENUE,INTERSECTION,BROOKLYN
26590389,10/31/2013 12:51:00 AM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,226 42 ST E,42 ST E,CHURCH AVE,SNYDER AVE,,,ADDRESS,
26594210,10/31/2013 12:46:27 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,,,,,WEST  184 STREET,BROADWAY,INTERSECTION,NEW YORK
26592932,10/31/2013 12:43:47 AM,10/31/2013 12:56:20 AM,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,11216,778 PARK PLACE,PARK PLACE,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN
26594152,10/31/2013 12:41:17 AM,10/31/2013 01:04:37 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10016,155 E 34TH ST,E 34TH ST,,,,,LATLONG,NEW YORK
26589678,10/31/2013 12:39:55 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11419,,,,,112 STREET,ATLANTIC AVENUE,INTERSECTION,SOUTH RICHMOND HILL
26592304,10/31/2013 12:38:00 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,371 TOMPKINS AVENUE,TOMPKINS AVENUE,MADISON STREET,PUTNAM AVENUE,,,ADDRESS,BROOKLYN
26591892,10/31/2013 12:37:16 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10305,1496 BAY STREET,BAY STREET,LYMAN AVENUE,SCHOOL ROAD,,,ADDRESS,STATEN ISLAND
26591573,10/31/2013 12:35:18 AM,10/31/2013 02:41:35 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10312,24 PRINCETON LANE,PRINCETON LANE,HAMPTON GREEN,DEAD END,,,ADDRESS,STATEN ISLAND
26590509,10/31/2013 12:33:00 AM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,38 ST E,38 ST E,CHURCH AVE,LINDEN BLVD,,,BLOCKFACE,
26591379,10/31/2013 12:32:44 AM,,DOHMH,Department of Health and Mental Hygiene,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,3+ Family Mixed Use Building,10025,501 WEST 110 STREET,WEST 110 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK
26594085,10/31/2013 12:32:08 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,121 WEST 116 STREET,WEST 116 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK
26589201,10/31/2013 12:32:00 AM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10309,295 BAYVIEW AVENUE,BAYVIEW AVENUE,VAIL AVENUE,BAYVIEW LANE,,,ADDRESS,STATEN ISLAND
26591641,10/31/2013 12:31:17 AM,10/31/2013 02:41:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10312,24 PRINCETON LANE,PRINCETON LANE,HAMPTON GREEN,DEAD END,,,ADDRESS,STATEN ISLAND
26595564,10/31/2013 12:30:36 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11236,AVENUE J,AVENUE J,EAST 80 STREET,EAST 81 STREET,,,BLOCKFACE,BROOKLYN
26591378,10/31/2013 12:30:31 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036,645 10 AVENUE,10 AVENUE,WEST 45 STREET,WEST 46 STREET,,,ADDRESS,NEW YORK
26593872,10/31/2013 12:29:47 AM,10/31/2013 12:38:29 AM,NYPD,New York City Police Department,Noise - House of Worship,Banging/Pounding,House of Worship,10025,,,,,WEST   99 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK
26591420,10/31/2013 12:28:30 AM,10/31/2013 02:06:11 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Residential Building/House,10025,2754 BROADWAY,BROADWAY,WEST 105 STREET,WEST 106 STREET,,,ADDRESS,NEW YORK
26592976,10/31/2013 12:23:24 AM,10/31/2013 01:05:41 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11433,173-41 103 ROAD,103 ROAD,173 STREET,177 STREET,,,ADDRESS,JAMAICA
26590262,10/31/2013 12:23:00 AM,,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11235,,,,,SHORE BOULEVARD,CASS PLACE,INTERSECTION,BROOKLYN
26589606,10/31/2013 12:20:44 AM,10/31/2013 02:10:24 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,826 ST JOHN'S PLACE,ST JOHN'S PLACE,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN
26592083,10/31/2013 12:20:00 AM,,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11213,,,,,BUFFALO AVENUE,PARK PLACE,INTERSECTION,BROOKLYN
26593840,10/31/2013 12:19:48 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11379,78-41 68 ROAD,68 ROAD,78 STREET,79 STREET,,,ADDRESS,MIDDLE VILLAGE
26589646,10/31/2013 12:18:05 AM,10/31/2013 01:26:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11101,34-19 STEINWAY STREET,STEINWAY STREET,34 AVENUE,35 AVENUE,,,ADDRESS,LONG ISLAND CITY
26593296,10/31/2013 12:16:25 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10014,12 CHRISTOPHER STREET,CHRISTOPHER STREET,GREENWICH AVENUE,GAY STREET,,,ADDRESS,NEW YORK
26590480,10/31/2013 12:15:06 AM,10/31/2013 03:00:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11231,325 COLUMBIA STREET,COLUMBIA STREET,,,,,LATLONG,BROOKLYN
26589626,10/31/2013 12:14:42 AM,10/31/2013 01:39:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234,2192 FLATBUSH AVENUE,FLATBUSH AVENUE,EAST 46 STREET,AVENUE O,,,ADDRESS,BROOKLYN
26592898,10/31/2013 12:12:08 AM,10/31/2013 01:13:45 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,10457,CROTONA PARK NORTH,CROTONA PARK NORTH,CLINTON AVENUE,PROSPECT AVENUE,,,BLOCKFACE,BRONX
26590446,10/31/2013 12:11:58 AM,10/31/2013 01:54:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,819 EAST 167 STREET,EAST 167 STREET,UNION AVENUE,PROSPECT AVENUE,,,ADDRESS,BRONX
26595546,10/31/2013 12:09:07 AM,10/31/2013 12:53:12 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10465,4005 EAST TREMONT AVENUE,EAST TREMONT AVENUE,SAMPSON AVENUE,GERBER PLACE,,,ADDRESS,BRONX
26595944,10/31/2013 12:08:47 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10036,,,,,WEST   46 STREET,10 AVENUE,INTERSECTION,NEW YORK
26595084,10/31/2013 12:07:45 AM,10/31/2013 01:43:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,12 CHRISTOPHER STREET,CHRISTOPHER STREET,GREENWICH AVENUE,GAY STREET,,,ADDRESS,NEW YORK
